ID_P,Data,Settimana,Squadra_C,Squadra_T,Possesso_C,Possesso_T
1987040,2015-08-09,1,10194,8650,47,53
1987041,2015-08-10,1,8659,8456,22,78
1987078,2015-08-14,2,10252,10260,45,55
1987079,2015-08-16,2,9826,9825,30,70
1987080,2015-08-17,2,8650,8678,55,45
1987081,2015-08-16,2,8456,8455,49,51
1987082,2015-08-15,2,8466,8668,53,47
1987083,2015-08-15,2,8472,9850,51,49
1987084,2015-08-15,2,10003,10261,61,39
1987085,2015-08-15,2,8586,10194,78,22
1987086,2015-08-15,2,9817,8659,64,36
1987087,2015-08-15,2,8654,8197,69,31
1987597,2016-05-15,38,9825,10252,92,8
1987598,2016-05-15,38,8455,8197,72,28
1987599,2016-05-15,38,8668,9850,42,58
1987600,2016-05-17,38,10260,8678,75,25
1987601,2016-05-15,38,10261,8586,47,53
1987602,2016-05-15,38,8466,9826,48,52
1987603,2016-05-15,38,10194,8654,20,80
1987604,2016-05-15,38,10003,8456,83,17
1987605,2016-05-15,38,9817,8472,39,61
1987606,2016-05-15,38,8659,8650,23,77
1988730,2015-08-24,3,9825,8650,69,31
1988731,2015-08-22,3,9826,10252,49,51
1988732,2015-08-23,3,8668,8456,49,51
1988733,2015-08-22,3,8197,8586,35,65
1988734,2015-08-22,3,10260,10261,65,35
1988735,2015-08-22,3,9850,10194,49,51
1988736,2015-08-22,3,8472,10003,37,63
1988737,2015-08-23,3,9817,8466,47,53
1988738,2015-08-23,3,8659,8455,36,64
1988739,2015-08-22,3,8654,8678,46,54
1988740,2015-08-29,4,10252,8472,66,34
1988741,2015-08-29,4,8678,8197,57,43
1988742,2015-08-29,4,8455,9826,68,32
1988743,2015-08-29,4,8650,8654,73,27
1988744,2015-08-29,4,8456,9817,61,39
1988745,2015-08-29,4,10261,9825,26,74
1988746,2015-08-30,4,8466,9850,51,49
1988747,2015-08-29,4,10194,8659,75,25
1988748,2015-08-30,4,10003,10260,40,60
1988749,2015-08-29,4,8586,8668,43,57
1988750,2015-09-12,5,9825,10194,73,27
1988751,2015-09-12,5,9826,8456,37,63
1988752,2015-09-12,5,8668,8455,51,49
1988753,2015-09-13,5,8197,10252,36,64
1988754,2015-09-12,5,10260,8650,63,37
1988755,2015-09-12,5,9850,8678,68,32
1988756,2015-09-13,5,8472,8586,48,52
1988757,2015-09-12,5,9817,10003,45,55
1988758,2015-09-12,5,8659,8466,37,63
1988759,2015-09-14,5,8654,10261,35,65
1988760,2015-09-19,6,10252,8659,50,50
1988761,2015-09-19,6,8678,8472,55,45
1988762,2015-09-19,6,8455,9825,53,47
1988763,2015-09-20,6,8650,9850,48,52
1988764,2015-09-19,6,8456,8654,61,39
1988765,2015-09-19,6,10261,9817,57,43
1988766,2015-09-20,6,8466,10260,42,58
1988767,2015-09-19,6,10194,8197,56,44
1988768,2015-09-19,6,10003,8668,46,54
1988769,2015-09-20,6,8586,9826,61,39
1988770,2015-09-26,7,8197,9825,39,61
1988771,2015-09-26,7,8650,10252,63,37
1988772,2015-09-26,7,10260,8472,67,33
1988773,2015-09-26,7,10261,8455,52,48
1988774,2015-09-26,7,8466,10003,43,57
1988775,2015-09-26,7,10194,8678,54,46
1988776,2015-09-26,7,8586,8456,52,48
1988777,2015-09-27,7,9817,9826,50,50
1988778,2015-09-28,7,8659,8668,55,45
1988779,2015-09-26,7,8654,9850,34,66
1988780,2015-10-04,8,9825,10260,65,35
1988781,2015-10-03,8,10252,10194,41,59
1988782,2015-10-03,8,8678,9817,52,48
1988783,2015-10-03,8,8455,8466,57,43
1988784,2015-10-03,8,9826,8659,55,45
1988785,2015-10-04,8,8668,8650,48,52
1988786,2015-10-03,8,8456,10261,53,47
1988787,2015-10-03,8,9850,8197,68,32
1988788,2015-10-03,8,8472,8654,59,41
1988789,2015-10-04,8,10003,8586,34,66
1988790,2015-10-17,9,8455,10252,49,51
1988791,2015-10-17,9,9826,8654,58,42
1988792,2015-10-17,9,8668,10260,43,57
1988793,2015-10-17,9,8456,8678,57,43
1988794,2015-10-18,9,10261,9850,47,53
1988795,2015-10-17,9,8466,8197,54,46
1988796,2015-10-19,9,10003,10194,53,47
1988797,2015-10-17,9,8586,8650,45,55
1988798,2015-10-17,9,9817,9825,39,61
1988799,2015-10-17,9,8659,8472,50,50
1988800,2015-10-24,10,9825,8668,60,40
1988801,2015-10-24,10,10252,10003,50,50
1988802,2015-10-25,10,8678,8586,50,50
1988803,2015-10-24,10,8197,9826,48,52
1988804,2015-10-25,10,8650,8466,66,34
1988805,2015-10-25,10,10260,8456,56,44
1988806,2015-10-24,10,9850,8659,75,25
1988807,2015-10-24,10,10194,9817,69,31
1988808,2015-10-25,10,8472,10261,30,70
1988809,2015-10-24,10,8654,8455,44,56
1988810,2015-10-31,11,8455,8650,32,68
1988811,2015-10-31,11,9826,10260,36,64
1988812,2015-11-01,11,8668,8472,69,31
1988813,2015-10-31,11,8456,9850,68,32
1988814,2015-10-31,11,10261,10194,53,47
1988815,2015-11-01,11,8466,8678,64,36
1988816,2015-10-31,11,10003,9825,58,42
1988817,2015-11-02,11,8586,10252,63,37
1988818,2015-10-31,11,9817,8654,51,49
1988819,2015-10-31,11,8659,8197,45,55
1988820,2015-11-08,12,9825,8586,60,40
1988821,2015-11-08,12,10252,8456,49,51
1988822,2015-11-07,12,8678,10261,61,39
1988823,2015-11-07,12,8197,9817,41,59
1988824,2015-11-08,12,8650,9826,55,45
1988825,2015-11-07,12,10260,8659,76,24
1988826,2015-11-07,12,9850,10003,30,70
1988827,2015-11-07,12,10194,8455,37,63
1988828,2015-11-07,12,8472,8466,34,66
1988829,2015-11-07,12,8654,8668,57,43
1988830,2015-11-21,13,8455,9850,65,35
1988831,2015-11-23,13,9826,8472,65,35
1988832,2015-11-21,13,8668,10252,75,25
1988833,2015-11-21,13,8456,8650,62,38
1988834,2015-11-21,13,10261,8197,50,50
1988835,2015-11-21,13,8466,10194,52,48
1988836,2015-11-21,13,10003,8678,44,56
1988837,2015-11-22,13,8586,8654,66,34
1988838,2015-11-21,13,9817,10260,41,59
1988839,2015-11-21,13,8659,9825,32,68
1988840,2015-11-28,14,10252,9817,68,32
1988841,2015-11-28,14,8678,8668,47,53
1988842,2015-11-28,14,9826,10261,51,49
